#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Dragon Ball Z - Super Butouden 2 (F) [T-Eng];드래곤 볼 Z 초무투전 2;SNES;;1993;Bandai;VS Fight;;;;;;;;;;
Dragon Ball Z - Super Butouden 3 (K);드래곤 볼 Z 초무투전 3 (한글판);SNES;;1994;Bandai;VS Fight;;;;;;;;;;
Dragon Ball Z - Super Gokuu Den Kakusei Hen (K);드래곤 볼 Z 초오공전 각성편 (한글판);SNES;;1995;Bandai;RPG;;;;;;;;;;
Dragon Ball Z - Super Gokuu Den - Totsugeki Hen (K);드래곤 볼 Z 초오공전 돌격편 (한글판);SNES;;1995;Bandai;RPG;;;;;;;;;;
Dragon Ball Z - Hyper Dimension (J) [T-Eng];드래곤 볼 Z 하이퍼 디멘션;SNES;;1996;Bandai;VS Fight;;;;;;;;;;
Live A Live (K);라이브 어 라이브 (한글판);SNES;;1994;Square;RPG;;;;;;;;;;
lionkingu;라이온 킹;MAME snes;Lion King, The (USA);1994;Virgin Interactive;Action;;;;;;;;;;
ranmagek;란마 - 정내격투편;MAME snes;scombat;1992;Masaya;VS Fight;;;;;;;;;;
ranmaran;란마 - 초기난무편;MAME snes;Ranma 1-2 - Chougi Ranbu Hen (Japan);1994;Masaya;VS Fight;;;;;;;;;;
ranmabak;란마 - 폭렬난투편;MAME snes;Ranma 1-2 - Bakuretsu Rantou Hen (Japan);1992;Masaya;VS Fight;;;;;;;;;;
Rushing Beat Shura (T-Kor);러싱 비트 수라 (한글판);SNES;;1993;Jaleco;Arcade;;;;;;;;;;
lemmingsu;레밍즈;MAME snes;Lemmings (USA);1992;Sunsoft;Puzzle;;;;;;;;;;
lemming2u;레밍즈 2;MAME snes;;1994;Psygnosis;Puzzle;;;;;;;;;;
Romancing Saga 2 (K);로맨싱 사가 2 (한글판);SNES;;1993;Square;RPG;;;;;;;;;;
Romancing Saga 3 (K);로맨싱 사가 3 (한글판);SNES;;1995;Square;RPG;;;;;;;;;;
Rockman & Forte (K);록맨 & 포르테 (한글판);SNES;;1998;Capcom;Action;;;;;;;;;;
Rockman X (K);록맨 X (한글판);SNES;;1993;Capcom;Action;;;;;;;;;;
Rockman X2 (K);록맨 X2 (한글판);SNES;;1994;Capcom;Action;;;;;;;;;;
Rockman X3 (K);록맨 X3 (한글판);SNES;;1995;Capcom;Action;;;;;;;;;;
Magic Knight Rayearth (K);마법기사 레이어스 (한글판);SNES;;1995;Tomy;RPG;;;;;;;;;;
Mahoujin Guru Guru 2 (K);마법진 구루구루 2 (한글판);SNES;;1995;Enix;RPG;;;;;;;;;;
