#Name;PC-Engine CD;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
dknightg;드래곤 나이트 I & 그래피티 (일본판);MAME pcecd;;;;RPG;;;;;;;;;;
dknight3;드래곤 나이트 III (일본판);MAME pcecd;;;;RPG;;;;;;;;;;
dslaylh;드래곤 슬레이어 영웅전설 (미국판);MAME pcecd;;;;RPG;;;;;;;;;;
dslayed2;드래곤 슬레이어 영웅전설 II (일본판);MAME pcecd;;;;RPG;;;;;;;;;;
dbz;드래곤볼 Z - 위대한 손오공 전설 (일본판);MAME pcecd;;;;Adventure;;;;;;;;;;
rayxan2;라이잔바 2 (일본판);PC-Engine CD;;;;Shooting;;;;;;;;;;
rayxan3;라이잔바 3 (일본판);MAME pcecd;;1992;Data east;Shooting;;;;;;;;;;
laplace;라플라스의 마 (일본판);MAME pcecd;;;;Adventure;;;;;;;;;;
ranmator;란마 - 빼앗긴 신부 (일본판);PC-Engine CD;ranma;;;Adventure;;;;;;;;;;
ranmadat;란마 - 타도 원조 무차별 격투류 (일본판);MAME pcecd;ranma;;;VS Fight;;;;;;;;;;
ranma;란마 (일본판);PC-Engine CD;;;;Action;;;;;;;;;;
langriss;랑그릿사 - 빛의 후예 (일본판);MAME pcecd;;1993;NCS;SRPG;;;;;;;;;;
lodoss;로도스 섬 전기 (일본판);MAME pcecd;;1992;Hudson;RPG;;;;;;;;;;
lodoss2;로도스 섬 전기 II (일본판);MAME pcecd;;1994;Hudson;RPG;;;;;;;;;;
loom;룸 (미국판);MAME pcecd;;;;Adventure;;;;;;;;;;
legion;리전 (일본판);MAME pcecd;;1990;Telenet Japan;Shooting;;;;;;;;;;
madoum;마도 이야기 1 (일본판);PC-Engine CD;;;;RPG;;;;;;;;;;
#mamonoht;마물헌터 요코 - 마계에서 온 전학생 (일본판);PC-Engine CD;;1992;;Action;;;;;;;;;;
#mamonohu;마물헌터 요코 - 멀리서 외치는 소리 (일본판);MAME pcecd;mamonoht;;;Action;;;;;;;;;;
madstlkr;매드 스토커 - 풀 메탈 포스 (일본판);MAME pcecd;;1991;NCS;Action;;;;;;;;;;
conan;미래소년 코난 (일본판);MAME pcecd;;1992;Telenet Japan;Adventure;;;;;;;;;;
sailormn;미소녀 전사 세일러 문 (일본판);MAME pcecd;;1994;Banpresto;Adventure;;;;;;;;;;
sailormc;미소녀 전사 세일러 문 콜렉션 (일본판);MAME pcecd;sailormn;1994;Banpresto;Mini Games;;;;;;;;;;
mysticf;미스틱 포뮬러 (일본판);MAME pcecd;;1993;Micro Cabin;Shooting;;;;;;;;;;
Kaze no Densetsu Xanadu (Japan);바람의 전설 자나두 (일본판);PC-Engine CD Mednafen;;1993;Falcom;ARPG;;;;;;;;;;
Kaze no Densetsu Xanadu II (Japan);바람의 전설 자나두 II (일본판);PC-Engine CD Mednafen;;1995;Falcom;ARPG;;;;;;;;;;
valis;바리스 I CD (일본판);MAME pcecd;;;;Action;;;;;;;;;;
valis2;바리스 II CD (일본판);PC-Engine CD;;1989;Telenet Japan;Action;;;;;;;;;;
valis3;바리스 III CD (일본판);PC-Engine CD;;1990;Telenet Japan;Action;;;;;;;;;;
