#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
gowcaizr;초인학원 고우카이저;MAME;0;1995;Technos Japan;VS Fighting;;;;;;;neogeo;0;0;4
berabohm;초절륜인 베라보맨;MAME;0;1988;Namco;Action;;;;;;;;;;
ironclad;초철 브리킹거;MAME;0;1996;Saurus;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
nspirit;최후의 인도 / 닌자 스피리트;MAME;0;1988;Irem;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;4
mtwins;치키치키 보이스 / 메가 트윈스;MAME;0;1990;Capcom;Action;2;0;Joystick (8-way);good;1;raster;cps1;0;0;3
cadash;카다쉬;MAME;0;1989;Taito Corporation Japan;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
karnov;카르노브;MAME;0;1987;Data east;Action;1;0;Joystick (8-way),dial;good;1;raster;;0;0;2
cabal;카발;MAME;0;1988;TAD;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;3
lkage;카케의 전설;MAME;0;1985;Taito;Action;1;0;Joystick (8-way),dial;good;1;raster;0;0;0;2
dino;캐딜락 공룡신세기;MAME;0;1993;Capcom;Arcade;3;0;Joystick (8-way);good;1;raster;cps1;0;0;2
cawing;캐리어 에어윙;MAME;0;1990;Capcom;Shooting;2;0;Joystick (8-way);good;1;raster;cps1;0;0;2
#cvsgd;캡콤 Vs. SNK 밀레니엄 파이트 2000 프로;MAME;0;2001;Capcom;VS Fighting;2;0;Joystick (8-way);preliminary;1;raster;naomigd;0;chd;6
csclub;캡콤 스포츠 클럽;MAME;0;1997;Capcom;Sports;2;0;Joystick (8-way);good;1;raster;cps2;0;0;3
captaven;캡틴 아메리카 & 어벤저스;MAME;0;1991;Data East;Arcade;;;;;;;;0;0;4
captcomm;캡틴 코만도;MAME;0;1991;Capcom;Arcade;;;;;;;cps1;0;0;4
ctomaday;캡틴 토마데이;MAME;0;1999;Visco;Shooting;;;;;;;neogeo;0;0;4
captflag;캡틴 플래그;MAME;0;1993;Jaleco;Puzzle;2;0;;good;1;raster;;0;0;2
columns;컬럼스;MAME;0;1990;SEGA;Puzzle;2;0;Joystick (8-way);good;1;raster;0;0;0;1
colmns97;컬럼스 97;MAME;0;1996;SEGA;Puzzle;2;0;Joystick (8-way),dial;good;1;raster;stvbios;0;0;2
ctribe;컴뱃 라이브스;MAME;0;1990;Technos Japan;Action;;;;;;;;0;0;4
cninja;케이브맨 닌자 / 죠 앤 맥;MAME;0;1991;data east;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
cosmogng;코스모 갱 비디오 게임;MAME;0;1991;Namco;Shooting;2;90;Joystick (8-way);good;1;raster;0;0;0;3
cotton;코튼;MAME;0;1991;SEGA;Shooting;;;;;;;;0;0;4
cottonbm;코튼 - 부메랑;MAME;0;1998;Success;Shooting;4;0;Joystick (8-way);imperfect;1;raster;stvbios;0;0;4
cotton2;코튼 2;MAME;0;1997;Success;Shooting;2;;;;;;stvbios;;;
