#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Landstalker - Koutei no Zaihou (K) [!];랜드스토커 (한글판);SEGA Mega Drive;;1992;SEGA;RPG;1;;;;;;;;16MB;
wrstball;레슬볼 / 파워볼;MAME megadrij;powerbal;1991;Namco;Sports;2;;;;;;;;4MB;
Rent A Hero (J) [T Eng];렌타 히어로 (영문판);SEGA Mega Drive;;1991;SEGA;RPG;1;;;;;;;;8MB;
rrash3;로드 래시 3;MAME Genesis;;1995;Electronic Arts;Racing;1;;;;;;;;16MB;
lordmon;로드 모나크 - 최후의 전투전설;MAME megadrij;;1994;SEGA;RPG;1;;;;;;;;16MB;
robotermu;로보캅 Vs. 터미네이터;MAME Genesis;Robocop Versus The Terminator (1993,Virgin,AT)(U);1994;Virgin Interactive;Action;1;;;;;;;;16MB;
rocketu;로켓나이트 어드벤처 ;MAME Genesis;Rocket Knight Adventures (1993,Konami,AT)(U);1993;Konami;Action;1;;;;;;;;8MB;
sparkstrj;로켓나이트 어드벤처 2 / 스파크스터;MAME megadrij;sparkstr;1994;Konami;Action;1;;;;;;;;8MB;
rockman;록맨 메가월드 / 메가맨 와일리 워즈;MAME megadrij;megaman;1994;Capcom;Action;1;;;;;;;;16MB;
ristarj;리스타 - 더 슈팅 스타;MAME megadrij;ristar;1995;SEGA;Action;1;;;;;;;;16MB;
cutiesuz;링사이드 엔젤;MAME megadrij;;1990;Asmik;Sports;2;;;;;;;;4MB;
madoumon;마도 이야기 I;MAME megadrij;Madou Monogatari I (J) [!];1996;Compile;RPG;1;;;;;;;;16MB;
mamono;마물헌터 요코 ;MAME megadrij;Mamono Hunter Yohko - Makai Kara no Tenkosei (1991,Masaya,AT)(J);1991;NCS;Action;1;;;;;;;;4MB;
maouren;마왕 연사자;MAME megadrij;mysticf;1991;Taito;Action;1;;;;;;;;4MB;
mwalk;마이클 잭슨의 문워커 ;MAME megadrij;Michael Jackson's Moonwalker (1990,Sega,AT)(W);1990;SEGA;Action;1;;;;;;;;4MB;
mazinsagu;마징 사가 ;MAME Genesis;Mazin Saga (1993,Sega,AT)(U);1993;Vic Tokai;Action;1;;;;;;;;8MB;
mtaruru;매지컬 탈토군 ;MAME megadrij;Magical Taruruuto-Kun (1992,Sega,AT)(J);1992;SEGA;Action;1;;;;;;;;4MB;
magichat;매지컬 햇의 날아라 터보! 대모험 / 용의 아들;MAME megadrij;Magical Hat no Buttobi Turbo! Daibouken (1990,Sega,AT)(J);1990;SEGA;Action;1;;;;;;;;4MB;
mcdonaldu;맥도날드 트레저랜드 어드벤처;MAME Genesis;mcdonald;1993;SEGA;Action;1;;;;;;;;8MB;
megaturru;메가 투리칸;MAME Genesis;Mega Turrican (1994,Data East,AT)(U);1994;Data east;Action;1;;;;;;;;8MB;
metalhdju;메탈 헤드 [32X];MAME 32x;metalhd;1995;SEGA;Shooting;1;;;;;;;;24MB;
Monster World IV (J) [f1][T-Eng_DeJap+Demiforce];몬스터 월드 IV (영문판);SEGA Mega Drive;;1994;SEGA;RPG;1;;;;;;;;16MB;
Musha Aleste - Full Metal Fighter Ellinor (K) [!];무사 알레스트 (한글판);SEGA Mega Drive;;1990;Compile;Shooting;1;;;;;;;;4MB;
sailormn;미소녀 전사 세일러 문 ;MAME megadrij;Bishoujo Senshi Sailor Moon (1994,Bandai,AT)(J);1994;BANDAI;Arcade;2;;;;;;;;16MB;
mmaniau;미키 매니아 ;MAME Genesis;Mickey Mania - Timeless Adventures of Mickey Mouse (1994,Sony,AT)(U);1994;Sony;Action;1;;;;;;;;16MB;
