#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
samsho4;사무라이 쇼다운 IV / 사무라이 스피리츠: 아마쿠사 강림;MAME;0;1996;SNK;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
samsho4k;사무라이 쇼다운 IV (한글판) / 패왕전설;EKMAME;samsho4;1996;SNK;Fighting;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
samsho5;사무라이 쇼다운 V;MAME;0;2003;SNK Playmore;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
samsh5sp;사무라이 쇼다운 V 스페셜 / 사무라이 스피리츠: 령 스페셜;MAME;0;2004;SNK Playmore;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
shocktro;쇼크 트루퍼스;MAME;;1997;Saurus;Shooting;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
shocktr2;쇼크 트루퍼스 세컨드 스쿼드;MAME;0;1998;Saurus;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
ssideki4;슈퍼 사이드킥 4 / 얼티메이트 11;MAME;0;1996;SNK;Sports;;;;;;;neogeo;;;;;;;
stakwin;스테익스 위너: GI 완전한 제패를 향한 길;MAME;;1995;Saurus;Sports;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
stakwin2;스테익스 위너 2;MAME;;1996;Saurus;Sports;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
#s1945p;스트라이커스 1945 플러스;MAME;0;1999;Psikyo;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
strhoop;스트리트 후프 / 스트리트 슬램;MAME;0;1994;data east;Sports;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
#spinmast;스핀 마스터 / 미라클 어드벤처;MAME;0;1993;Data east;Action;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
matrim;신 호혈사일족: 투혼;MAME;0;2002;Atlus;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
ragnagrd;신황권 / 라그나가드;MAME;0;1996;Saurus;Fighting;;;;;;;neogeo;0;0;4;;;;
garou;아랑 - 늑대의 표식;MAME;0;1999;SNK;Fighting;;;;;;;neogeo;;;;;;;
fatfury1;아랑전설;MAME;0;1991;SNK;Fighting;2;;;;;;neogeo;0;0;4;;;;
fatfury2;아랑전설 2;MAME;0;1992;SNK;Fighting;;;;;;;neogeo;0;0;4;;;;
fatfury3;아랑전설 3: 로드 투 더 파이널 빅토리;MAME;0;1995;SNK;Fighting;2;;;;;;neogeo;0;0;4;;;;
fatfursp;아랑전설 스페셜;MAME;0;1993;SNK;Fighting;2;;;;;;neogeo;0;0;4;;;;
#alpham2;아소 II - 라스트 가디언 / 알파 미션 II;MAME;0;1991;SNK;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
#androdun;안드로 듀노스;MAME;0;1992;Visco;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
#sonicwi2;에어로 파이터즈 2;MAME;0;1994;Video system;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
#sonicwi3;에어로 파이터즈 3;MAME;0;1995;Video system;Shooting;;;;;;;neogeo;;;;;;;
