11beat	Eleven Beat	Hudson
tmntu	닌자 거북이 (US 4 Players, version R)	Konami
tmntua	닌자 거북이 (US 4 Players, version J)	Konami
tmntub	닌자 거북이 (US 4 Players, version H)	Konami
tmosh	도키메키 메모리얼 가르쳐줘 Your Heart (GQ673 JAA)	Konami
tmoshs	도키메키 메모리얼 가르쳐줘 Your Heart Seal 버전 (GE755 JAA)	Konami
tmoshsp	도키메키 메모리얼 가르쳐줘 Your Heart Seal 버전 Plus (GE756 JAB)	Konami
tmoshspa	도키메키 메모리얼 가르쳐줘 Your Heart Seal 버전 Plus (GE756 JAA)	Konami
tndrcade	특수부대 U.A.G. / 썬더 케이드 / 트윈 포메이션	Seta (Taito license)
tndrcadej	특수 부대i U.A.G. (일본판)	Seta (Taito license)
tnextspc	넥스트 스페이스 (세트 1)	SNK
tnextspc2	넥스트 스페이스 (세트 2)	SNK
tnextspcj	넥스트 스페이스 (일본판)	SNK (Pasadena International Corp. license)
tnk3	탱크 III (미국판)	SNK
tnk3j	T.A.N.K (일본판)	SNK
tnzs	뉴질랜드 스토리 (세계판, 신버전) (P0-043A PCB)	Taito Corporation Japan
tnzsj	뉴질랜드 스토리 (일본판, 신버전) (P0-043A PCB)	Taito Corporation
tnzsjo	뉴질랜드 스토리 (일본판, 구버전) (P0-041A PCB)	Taito Corporation
tnzso	뉴질랜드 스토리 (세계판, 구버전) (P0-041A PCB)	Taito Corporation Japan
tnzsoa	뉴질랜드 스토리 (세계판, 미확인버전) (P0-041A PCB)	Taito Corporation Japan
tnzsop	뉴질랜드 스토리 (세계판, 시험판) (P0-041-1 PCB)	Taito Corporation Japan
tnzsuo	뉴질랜드 스토리 (미국판, 구버전) (P0-041A PCB)	Taito America Corporation
todruaga	두루아가의 탑 (신버전.)	Namco
todruagao	두루아가의 탑 (Old Ver.)	Namco
todruagas	두루아가의 탑 (Sidam)	bootleg? (Sidam)
toffy	토피	Midas
toki	토키 (세계판, 세트 1)	TAD Corporation
tokia	토키 (세계판, 세트 2)	TAD Corporation
tokib	토키 (Datsu bootleg)	bootleg (Datsu)
tokims	토키 (Modular System)	bootleg
tokio	토키오 / 스크램블 포메이션 (newer)	Taito Corporation
tokiob	토키오 / 스크램블 포메이션 (bootleg)	bootleg
tokioo	토키오 / 스크램블 포메이션 (구버전)	Taito Corporation
tokiou	토키오 / 스크램블 포메이션 (미국판)	Taito America Corporation (Romstar license)
tokip	토키 (US, prototype?)	TAD Corporation (Fabtek license)
tokisens	시간의 전사 - 크로노 솔져	Sega
tokisensa	시간의 전사 - 크로노 솔져 (prototype?)	Sega
tokiu	토키 (US, 세트 1)	TAD Corporation (Fabtek license)
tokiua	토키 (US, 세트 2)	TAD Corporation (Fabtek license)
tokyobus	도쿄 버스 가이드 (일본판, 개정판 A)	Fortyfive
tokyocop	도쿄 캅 (미국판, dedicated 버전)	Gaelco
tokyocopi	도쿄 캅 (이탈리아판)	Gaelco
tokyocopk	도쿄 캅 (미국판, kit 버전)	Gaelco
tokyowar	도쿄 워즈 (개정판. TW2 버전.A, 세계판)	Namco
tondemo	돈데모 크라이시스 (일본판)	Tecmo
toobin	투빙 (개정판 3)	Atari Games
toobin1	투빙 (rev 1)	Atari Games
toobin2	투빙 (rev 2)	Atari Games
toobin2e	투빙 (Europe, rev 2)	Atari Games
toobine	투빙 (Europe, rev 3)	Atari Games
toobing	투빙 (German, rev 3)	Atari Games
topbladv	탑 블레이드 V	SonoKong / Expotato
topgun	Vs. 탑 건	Konami
tophuntr	탑 헌터 - 로디 & 케시 (NGM-046)	SNK
tophuntrh	Top Hunter - Roddy & Cathy (NGH-046)	SNK
tophuntrpx	탑 헌터 - 로디 & 케시 (Plus Max hack by Xyahzhs)	Xyahzhs
toppyrap	토피 & 래피	SemiCom
topsecrt2	탑 시크릿 (일본판, revision B)	Capcom
topshoot	탑 슈터	Sun Mixing
topskatr	탑 스케이터 (수출판, 개정판 A)	Sega
topskatrj	탑 스케이터 (일본판)	Sega
topskatru	탑 스케이터 (미국판, 개정판 A)	Sega
topskatruo	탑 스케이터 (미국판)	Sega
topspeed	탑 스피드 (세계판)	Taito Corporation Japan
topspeedu	Top Speed (미국판)	Taito America Corporation (Romstar license)
torus	토러스	Yun Sung
toryumon	등용문	Sega
totcarn	토탈 카네이지 (개정판 LA1 03/10/92)	Midway
totcarnp	토탈 카네이지 (prototype, rev 1.0 01/25/92)	Midway
toto	컴 백 토토	SoftClub
toucheme	터치 미 (세트 1)	<unknown>
touchgo	터치 & 고 (세계판)	Gaelco
touchgoe	터치 & 고 (earlier revision)	Gaelco
touchgok	터치 & 고 (한국판, 비보호판)	Gaelco
touchgon	터치 & 고 (Non North America)	Gaelco
toukon3	신 일본 프로레슬링 투혼 열전 3 아케이드 에디션 (일본판, TR1/버전.A)	Namco / Tomy
toukon4	신 일본 프로레슬링 투혼 열전 4 아케이드 에디션 (일본판, TRF1 버전.A)	Namco
tourvis	Tourvision PCE bootleg	bootleg (Tourvision)
toutrun	터보 아웃런 (아웃런 upgrade) (FD1094 317-0118)	Sega
toutrun1	터보 아웃런 (deluxe cockpit) (FD1094 317-0109)	Sega
toutrun2	터보 아웃런 (cockpit) (FD1094 317-0106)	Sega
toutrun2d	터보 아웃런 (cockpit) (bootleg of FD1094 317-0106 set)	bootleg
toutrun3	터보 아웃런 (cockpit) (FD1094 317-0107)	Sega
toutrun3d	터보 아웃런 (cockpit) (bootleg of FD1094 317-0107 set)	bootleg
toutrund	터보 아웃런 (Out Run upgrade) (bootleg of FD1094 317-0118 set)	bootleg
toutrunj	터보 아웃런 (일본판, Out Run upgrade) (FD1094 317-0117)	Sega
toutrunj1	터보 아웃런 (일본판, cockpit) (FD1094 317-0101)	Sega
toutrunj1d	터보 아웃런 (일본판, cockpit) (bootleg of FD1094 317-0101 set)	bootleg
toutrunjd	터보 아웃런 (일본판, Out Run upgrade) (bootleg of FD1094 317-0117 set)	bootleg
toyfight	토이 파이터	Sega
toyland	토이랜드 어드밴쳐	SemiCom
toypop	토이팝	Namco
tpgolf	탑 플레이어즈 골프 (NGM-003 ~ NGH-003)	SNK
trackfld	트랙 & 필드	Konami
trackfldc	트랙 & 필드 (Centuri)	Konami (Centuri license)
trackfldnz	트랙 & 필드 (NZ bootleg?)	bootleg? (Goldberg Enterprizes Inc.)
trackfldu	트랙 & 필드 (Centuri, unencrypted)	Konami (Centuri license)
trailblz	트레일 블레이저	Coinmaster
trally	트래쉬 랠리 (ALM-003 ~ ALH-003)	Alpha Denshi Co.
transfrm	트랜스포머	Sega
travrusa	트레버스 USA / Zippy Race	Irem
travrusab	트래버스 USA (bootleg)	bootleg (I.P.)
trbwtchs	트러블 위치스 AC (v1.00J)	Adventure Planning Service/Studio SiestA
trckydoc	트릭키 독 (세트 1)	Tecfri
trckydoca	트릭키 독 (세트 2)	Tecfri
treacity	트레져 시티 City (Ver. 208)	Subsino (American Alpha license)
treacity202	트레져 시티 (Ver. 202)	Subsino (American Alpha license)
treamary	트레져 마리	Subsino
trgheart	타이거 하트 엑셀리카 버전.A (일본판) (GDL-0036A)	Warashi
trghearto	타이거 하트 엑셀리카 (일본판) (GDL-0036)	Warashi
tricktrp	트릭 트랩 (세계판)	Konami
triforce	트라이포스 Bios	Sega
trigon	트라이곤 (일본판)	Konami
triothep	트리플 펀치 - 나를 용서하지마 (세계판)	Data East Corporation
triothepj	트리플 펀치 - 나를 용서하지마 (일본판)	Data East Corporation
tripdraw	트리플 드로우 (V3.1 s)	Status Games
trizeal	트라이질 (일본판) (GDL-0026)	Triangle Service
troangel	트로피칼 엔젤	Irem
trojan	투쟁의 민가 (미국판 세트 1)	Capcom
trojana	투쟁의 민가 (US 세트 2)	Capcom
trojanb	투쟁의 민가 (bootleg)	bootleg
trojanj	투쟁의 민가 (일본판)	Capcom
trojanr	투쟁의 민가 (Romstar)	Capcom (Romstar license)
trstar	탑 랭킹 스타 (버전 2.1O 1993/05/21) 	Taito Corporation Japan
trstarj	탑 랭킹 스타 (Ver 2.1J 1993/05/21) (New Version)	Taito Corporation
trstaro	탑 랭킹 스타 (Ver 2.1O 1993/05/21) (Old Version)	Taito Corporation Japan
trstaroj	탑 랭킹 스타 (Ver 2.1J 1993/05/21) (Old Version)	Taito Corporation
truckk	트럭 광주곡 (일본판, TKK2/버전.A)	Metro / Namco
truxton	트런스턴	Toaplan / Taito Corporation
truxton2	트런스턴 II / 타츠진오	Toaplan
ts2	배틀 아레나 투신전 2 (미국판 951124)	Capcom / Takara
ts2a	배틀 아레나 투신전 2 (미국판 951124) Older	Capcom / Takara
ts2j	배틀 아레나 투신전 2 (일본판 951124)	Capcom / Takara
tsurugi	검 (ver EAB)	Konami
tsurugie	검 (버전 EAB, alt)	Konami
tsurugij	검 (ver JAC)	Konami
ttchamp	테이블 테니스 챔피온	Gamart
ttchampa	테이블 테니스 챔피온 (Palencia Elektronik license)	Gamart (Palencia Elektronik license)
tturf	터프 터프 (세트 2, 일본판) (8751 317-0104)	Sega / Sunsoft
tturfu	터프 터프 (세트 1, US) (8751 317-0099)	Sega / Sunsoft
tumblep	텀블 팝 (세계판)	Data East Corporation
tumblepj	텀블 팝 (일본판)	Data East Corporation
tuningrc	길코 챔패언십 터닝 레이스	Gaelco
turbofrc	터보 포스 (세계판, 세트 1)	Video System Co.
turbofrco	터보 포스 (세계판, 세트 2)	Video System Co.
turbofrcu	터보 포스 (미국판)	Video System Co.
turtship	거북선 (북아메리카)	Philko (Sharp Image license)
turtshipj	거북선 (일본판)	Philko (Pacific Games license)
turtshipk	거북선 (한국판)	Philko
turtshipkn	거북선 (Korea, 88/9)	Philko
turtshipko	거북선 (Korea, older)	Philko
tutankhm	투팅카맨	Konami
tutankhms	투탕카맨 (Stern Electronics)	Konami (Stern Electronics license)
tutstomb	Tut's Tomb	Island Design
twcup90	테크모 월드컵 '90 (세계판 세트 1)	Tecmo
twcup90a	테크모 월드컵 '90 (Euro 세트 1)	Tecmo
twcup90b	테크모 월드컵 '90 (Euro 세트 2)	Tecmo
twcup90b1	유로 리그 (Italian hack of 테크모 월드컵 '90, 세트 1)	bootleg
twcup90b2	테크모 월드컵 '90	bootleg
twcup90ba	유로 리그 (Italian hack of 테크모 월드컵 '90, 세트 2)	bootleg
twcup90bb	월드컵 '90 (European hack, different title)	bootleg
twcup90c	테크모 월드컵 '90 (Euro 세트 3)	Tecmo
twcup90t	테크모 월드컵 '90 (trackball 세트 1)	Tecmo
twcup94	테크모 월드컵 '94 (세트 1)	Tecmo
twcup94a	테크모 월드컵 '94 (세트 2)	Tecmo
twcup94b	테크모 월드컵 '94 (세트 3)	Tecmo
twcup98	테크모 월드컵 '98 (JUET 980410 V1.000)	Tecmo
twcupmil	테크모 월드컵 Millennium (일본판)	Tecmo
twinactn	트윈 액션	Afega
twinbee	트윈비 (ROM 버전)	Konami
twincbu2	트윈 코브라 (Hack)	[Hack]
twincobr	트윈 코브라 (세계판)	Toaplan / Taito Corporation
twincobru	트윈 코브라 (미국판)	Toaplan / Taito America Corporation (Romstar license)
twineag2	트윈 이글 II - The Rescue Mission	Seta
twineagl	트윈 이글 - Revenge Joe's Brother	Seta (Taito license)
twinfalc	트윈 팔콘스	Philko (Poara Enterprises license)
twinhawk	트윈 호크 (세계판)	Taito Corporation Japan
twinhawku	트윈 호크 (미국판)	Taito America Corporation
twinkle	트윙클	SemiCom / Tirano
twinktmb	트윙클 테일 (bootleg of Megadrive version)	bootleg / Sega
twinqix	트윈 퀵스 (버전 1.0A 1995/01/17, 시험판)	Taito America Corporation
twinspri	트윙클 스타 스프라이트	ADK / SNK
twinsprih	트윙클 스타 스프라이트 (ExChar hack by Yumeji)	Yumeji
twinsqua	트윈 스쿼시	Sega
twintwst	트윈 트위스트 (트윈 코브라 Hack)	[Hack]
twrshaft	타워 & 샤프트	Aruze
twsoc96	테크모 월드컵 '96	Tecmo
tx1	TX-1 (세계판)	Tatsumi (Atari/Namco/Taito license)
tx1jb	TX-1 (일본판 rev. B)	Tatsumi
tx1jc	TX-1 (일본판 rev. C)	Tatsumi
uballoon	울트라 벌룬	SunA (Unico license)
uccops	언더커버 캅스 (세계판)	Irem
uccopsar	언더커버 캅스 - Alpha Renewal Version	Irem
uccopsj	언더커버 캅스 (일본판)	Irem
uccopsu	언더커버 캅스 (미국판)	Irem
uecology	얼티메이트 이콜로지 (일본판 931203)	Capcom
ultarctc	얼티메이트 아크팅 썬더	Midway Games
ultarctcup	얼티메이트 아크팅 썬더 Update CD 버전 1.950 (5/3/04)	Midway Games
ultennis	얼티메이트 테니스	Art & Magic
ultennisj	얼티메이트 테니스 (v 1.4, 일본판)	Art & Magic (Banpresto license)
ultraman	울트라맨 (일본판)	Banpresto / Bandai
ultrax	울트라 경비대 / 공상특촬게임	Banpresto / Tsuburaya Productions / Seta
ultraxg	울트라 X 웨이폰 / 울트라 경비대 (GAMEST review build)	Banpresto / Tsuburaya Productions / Seta
ultrchmp	Se Gye Hweng Dan Ultra Champion (한국판)	Nakanihon
ultrchmph	Cheng Ba Shi Jie - Chao Shi Kong Guan Jun (대만판)	Nakanihon
umanclub	울트라맨 클럽 - Tatakae! Ultraman Kyoudai!!	Banpresto / Tsuburaya Productions
umk2te52	얼티메이트 모탈 컴뱃 II (Tournament Edition r5.0.052)(rev L3.1)	SK
umk3	얼티메이트 모탈 컴뱃 3 (개정판 1.2)	Midway
umk3j	얼티메이트 모탈 컴뱃 3 (rev 1.2) Juggernauts Hack v1.0	Midway
umk3r10	얼티메이트 모탈 컴뱃 3 (rev 1.0)	Midway
umk3r11	얼티메이트 모탈 컴뱃 3 (rev 1.1)	Midway
umk3te42	얼티메이트 모탈 컴뱃 3 (Tournament Edition)(2.0.042)	Midway
umk3z	얼티메이트 모탈 컴뱃 3 (rev 1.2) Zeus hack	Midway
umk3ze	얼티메이트 모탈 컴뱃 3 (rev 1.2) Zeus hack (세트 2)	Midway
unclepoo	푸 삼촌	Diatec
undefeat	언더 디핏 (일본판) (GDL-0035)	G.Rev
undoukai	운동회 (일본판)	Taito Corporation
unsquad	U.N. 비행중대 (미국판)	Capcom
uopoko	퍼즐 유 포코 (국제판)	Cave (Jaleco license)
uopokoj	퍼즐 유 포코 (일본판)	Cave (Jaleco license)
usvsthem	미국 VS 그들	Mylstar
utoukond	울트라 투혼 전설 (일본판)	Banpresto / Tsuburaya Productions
valkyrie	왈큐레의 전설 (일본판)	Namco
valtric	벨트릭	NMK (Jaleco license)
vamphalf	뱀프 x1/2 (유럽판, 버전 1.1.0908)	Danbi / F2 System
vamphalfk	뱀프 x1/2 (한국판, 버전 1.1.0908)	Danbi / F2 System
vamphalfr1	뱀프 x1/2 (Europe, version 1.0.0903)	Danbi / F2 System
vampj	뱀파이어: 더 나이트 워리어즈 (일본판 940705)	Capcom
vampja	뱀파이어: 더 나이트 워리어즈 (일본판 940705 alt)	Capcom
vampjb	뱀파이어: 더 나이트 워리어즈 (보스 핵 by Yumeji)	Yumeji
vampjr1	뱀파이어: 더 나이트 워리어즈 (일본판 940630)	Capcom
vandyke	반다이크 (일본판)	UPL
vandykeb	반다이크 (bootleg with PIC16c57)	bootleg
vandykejal	반다이크 (Jaleco, 세트 1)	UPL (Jaleco license)
vandykejal2	반다이크 (Jaleco, 세트 2)	UPL (Jaleco license)
vangrd2	뱅가드 II	SNK
vaportra	베이퍼 트레일 : 하이퍼 오펜스 포메이션 (세계 개정판 1)	Data East Corporation
vaportra3	베이퍼 트레일 : 하이퍼 오펜스 포메이션 (세계판 revision 3?)	Data East Corporation
vaportrau	베이퍼 트레일 : 하이퍼 오펜스 포메이션 (미국판)	Data East USA
vaportrx	베이퍼 TRX	Atari Games
vaportrxp	베이퍼 TRX (prototype)	Atari Games
varth	바스: 오퍼레이션 썬더스톰 (세계판 920714)	Capcom
varthj	바스: 오퍼레이션 썬더스톰 (일본판 920714)	Capcom
varthjr	바스: 오퍼레이션 썬더스톰 (일본판 Resale Ver. 920714)	Capcom
varthr1	바스: 오퍼레이션 썬더스톰 (세계판 920612)	Capcom
varths01	바스: 오퍼레이션 썬더스톰 (EX 슈퍼 버전 V1)(세계판 920714)	HOOOOOOK
varths02	바스: 오퍼레이션 썬더스톰 (Ex 슈퍼 버전)(일본판 920714)	HOOOOOOK
varthu	바스: 오퍼레이션 썬더스톰 (미국판 920612)	Capcom (Romstar license)
vasara	바사라	Visco
vasara2	바사라 2 (세트 1)	Visco
vasara2a	바사라 2 (세트 2)	Visco
vathlete	버추어 어슬래틱스 / Virtua Athlete (GDS-0019)	Sega
vathletep	버추어 어슬래틱스 / Virtua Athlete (시험판)	Sega
vball	U.S. 챔피언쉽 비치발리볼 (미국판)	Technos Japan
vball2pj	U.S. 챔피언쉽 비치발리볼 (일본판)	Technos Japan
vball2pjb	U.S. 챔피언쉽 비치발리볼 (bootleg of Japan set)	bootleg
vballb	U.S. 챔피언쉽 비치발리볼 (bootleg of US set)	bootleg
vcircle	비셔스 서클 (prototype)	Atari Games
vcop	버추어 캅 (개정판 B)	Sega
vcop2	버추어 캅 2	Sega
vcopa	버추어 캅 (개정판 A)	Sega
vendetta	벤데타 (세계판, 4인용, 버전 T)	Konami
vendetta2pd	벤데타 (아시아판, 2 Players, ver. D)	Konami
vendetta2peba	벤데타 (세계판, 2 Players, ver. EB-A?)	Konami
vendetta2pp	벤데타 2 - 크라임 파이터즈 (일본판, 2인용, 버전 P)	Konami
vendetta2pu	벤데타 (아시아판, 2 Players, ver. U)	Konami
vendetta2pun	벤데타 (세계판, 2 Players, ver. ?)	Konami
vendetta2pw	벤데타 (세계판, 2 Players, ver. W)	Konami
vendettan	크라임 파이터즈 2 (일본판, 4 Players, ver. N)	Konami
vendettar	벤데타 (US, 4 Players, ver. R)	Konami
vendettaun	벤데타 (세계판, 4 Players, ver. ?)	Konami
vendettaz	벤데타 (아시아판, 4 Players, ver. Z)	Konami
venom	베놈 & 스파이더맨 - Separation Anxiety (SNES bootleg)	bootleg
vf	버추어 파이터	Sega
vf2	버추어 파이터 2 (버전 2.1)	Sega
vf2a	버추어 파이터 2 (개정판 A)	Sega
vf2b	버추어 파이터 2 (개정판 B)	Sega
vf2o	버추어 파이터 2	Sega
vf3	버추어 파이터 3 (개정판 D)	Sega
vf3a	버추어 파이터 3 (개정판 A)	Sega
vf3c	버추어 파이터 3 (개정판 C)	Sega
vf3tb	버추어 파이터 3 Team Battle	Sega
vf4	버추어 파이터 4 버전 C (GDS-0012C)	Sega
vf4b	버추어 파이터 4 (개정판 B) (GDS-0012B)	Sega
vf4cart	버추어 파이터 4 (세계판)	Sega
vf4evo	버추어 파이터 4 Evolution (버전 B) (일본판) (GDS-0024C)	Sega
vf4evoa	버추어 파이터 4 Evolution (일본판) (GDS-0024A)	Sega
vf4evob	버추어 파이터 4 Evolution (버전 B) (일본판) (GDS-0024B)	Sega
vf4evoct	버추어 파이터 4 Evolution (세계판)	Sega
vf4o	버추어 파이터 4 (GDS-0012)	Sega
vf4tuned	버추어 파이터 4 Final Tuned (버전 B) (GDS-0036F)	Sega
vf4tuneda	버추어 파이터 4 Final Tuned (GDS-0036A)	Sega
vf4tunedd	버추어 파이터 4 Final Tuned (버전 A) (GDS-0036D)	Sega
vf5	버추어 파이터 5 (수출판)	Sega
vfive	브이 파이브 (일본판)	Toaplan
vfkids	버추어 파이터 키즈 (JUET 960319 V0.000)	Sega
vfremix	버추어 파이터 리믹스 (JUETBKAL 950428 V1.000)	Sega
vfurlong	넷 셀렉트 경마: 빅토리 푸어롱	Progress / Sammy
vgoalsca	브이 골 싸커 (미국판/Japan/한국판)	Tecmo
vgoalsoc	브이 골 싸커 (유럽판)	Tecmo
vhunt2	뱀파이어 헌터 2: 다크스토커의 복수 (일본판 970929)	Capcom
vhunt2d	뱀파이어 헌터 2: 다크스토커의 복수 (일본판 970913 Phoenix Edition) (bootleg)	bootleg
vhunt2r1	뱀파이어 헌터 2: 다크스토커의 복수 (일본판 970913)	Capcom
vhuntj	뱀파이어 헌터: 다크스토커의 복수 (일본판 950316)	Capcom
vhuntjr1	뱀파이어 헌터: 다크스토커의 복수 (일본판 950307)	Capcom
vhuntjr1s	뱀파이어 헌터: 다크스토커의 복수 (일본판 950307 stop version)	Capcom
vhuntjr2	뱀파이어 헌터: 다크스토커의 복수 (일본판 950302)	Capcom
victlapj	에이스 드라이버: 빅토리 랩 (개정판. ADV1, 일본판)	Namco
victlapw	에이스 드라이버: 빅토리 랩 (개정판. ADV2, 세계판)	Namco
victnine	빅토리어스 나인	Taito
victroad	노호층권 - 빅토리 로드	SNK
viewpntr	뷰포인트 (Unlimited lives and mega-bombs for p1 and p2)	Sammy
viewpoin	뷰포인트	Sammy / Aicom
viewpoinp	뷰포인트 (prototype)	Sammy / Aicom
viewpointr	뷰포인트 Enhanced	KiWi Starlight
vigilant	비질란테 (세계판, 개정판 E)	Irem
vigilanta	비질란테 (세계판, Rev A)	Irem
vigilantb	비질란테 (US, Rev B)	Irem (Data East license)
vigilantbl	비질란테 (bootleg)	bootleg
vigilantc	비질란테 (세계판, Rev C)	Irem
vigilantd	비질란테 (일본판, Rev D)	Irem
vigilantg	비질란테 (US, Rev G)	Irem (Data East license)
vigilanto	비질란테 (미국판)	Irem (Data East license)
vimana	비마나 (세계판, 세트 1)	Toaplan
vimanaj	비마나 (일본판)	Toaplan
vimanan	비마나 (세계판, 세트 2)	Toaplan
vindctr2	빈디케이터스 파트 II (개정판 3)	Atari Games
vindctr2r1	빈디케이터스 파트 II (rev 1)	Atari Games
vindctr2r2	빈디케이터스 파트 II (rev 2)	Atari Games
viofight	바이올런스 파이트 (세계판)	Taito Corporation Japan
viofightj	바이올런스 파이트 (일본판)	Taito Corporation
viofightu	바이올런스 파이트 (미국판)	Taito America Corporation
viostorm	바이올런트 스톰 (버전 EAC)	Konami
viostorma	바이올런트 스톰 (ver AAC)	Konami
viostormab	바이올런트 스톰 (ver AAB)	Konami
viostormeb	바이올런트 스톰 (ver EAB)	Konami
viostormj	바이올런트 스톰 (ver JAC)	Konami
viostormu	바이올런트 스톰 (ver UAC)	Konami
viostormub	바이올런트 스톰 (ver UAB)	Konami
viprp1	바이퍼 페이즈 1 (신버전, 세계판)	Seibu Kaihatsu
viprp1h	바이퍼 페이즈 1 (New Version, Holland)	Seibu Kaihatsu
viprp1hk	바이퍼 페이즈 1 (홍콩판)	Seibu Kaihatsu (Metrotainment license)
viprp1j	바이퍼 페이즈 1 (New Version, 일본판)	Seibu Kaihatsu
viprp1k	바이퍼 페이즈 1 (신버전, 한국판)	Seibu Kaihatsu (Dream Island license)
viprp1oj	바이퍼 페이즈 1 (일본판)	Seibu Kaihatsu
viprp1ot	바이퍼 페이즈 1 (Germany)	Seibu Kaihatsu (Tuning license)
viprp1s	바이퍼 페이즈 1 (New Version, Switzerland)	Seibu Kaihatsu
viprp1t	바이퍼 페이즈 1 (New Version, Germany)	Seibu Kaihatsu (Tuning license)
viprp1u	바이퍼 페이즈 1 (New Version, US 세트 1)	Seibu Kaihatsu (Fabtek license)
viprp1ua	바이퍼 페이즈 1 (New Version, US 세트 2)	Seibu Kaihatsu (Fabtek license)
virnba	버추어 NBA (미국판)	Sega
virnbao	버추어 NBA	Sega
virnbap	버추어 NBA (시험판)	Sega
virnbapa	버추어 NBA (prototype, 15.11)	Sega
virtpool	버추어 당구	Incredible Technologies
vjdash	VJ 비쥬얼 & 뮤직 슬랩	Jaleco
vliner	V-라이너 (v0.7a)	Dyna / BrezzaSoft
vliner53	V-라이너 (v0.53)	Dyna / BrezzaSoft
vliner54	V-라이너 (v0.54)	Dyna / BrezzaSoft
vliner6e	V-라이너 (v0.6e)	Dyna / BrezzaSoft
vliner7e	V-라이너 (v0.7e)	Dyna / BrezzaSoft
vmetal	바리아 메탈	Excellent System
vmetaln	바리아 메탈 (New Ways Trading Co.)	Excellent System (New Ways Trading Co. license)
volfied	땅따먹기 (세계판, 개정판 1)	Taito Corporation Japan
volfiedj	땅따먹기  (일본판, 개정판 1)	Taito Corporation
volfiedjo	땅따먹기  (일본판)	Taito Corporation
volfiedo	땅따먹기  (세계판)	Taito Corporation Japan
volfiedu	땅따먹기  (US, 개정판 1)	Taito America Corporation
volfieduo	땅따먹기  (미국판)	Taito America Corporation
von	사이버 트루퍼스 버추어 온 (미국판, 개정판 B)	Sega
von2	버추어 온 2: 탱글라마의 성사 (개정판 B)	Sega
von254g	버추어 온 2: 탱글라마의 성사 (ver 5.4g)	Sega
von2a	버추어 온 2: 탱글라마의 성사 (개정판 A)	Sega
von2o	버추어 온 2: 탱글라마의 성사	Sega
vonj	사이버 트루퍼스 버추어 온 (일본판, 개정판 B)	Sega
vonot	버추어 온 2: 탱글라마의 성사 M.S.B.S. ver5.66 2000 Edition	Sega
vonr	사이버 트루퍼스 버추얼 온 릴레이 (일본판)	Sega
voyager	스타트랙: Voyager	Team Play/Game Refuge/Monaco Entertainment
voyagers	스타트랙: Voyager (stand-up 버전 1.002)	Team Play/Game Refuge/Monaco Entertainment
vr	버추어 레이싱	Sega
vs2	버추어 스트라이커 2 (Step 2.0)	Sega
vs2002ex	버추어 스트라이커 2002 (GDT-0002)	Sega / Amusement Vision
vs2002j	버추어 스트라이커 2002 (GDT-0001)	Sega / Amusement Vision
vs2002t3	버추어 스트라이커 2002 (Type 3) (GDT-0012)	Sega / Amusement Vision
vs215	버추어 스트라이커 2 (Step 1.5, Export, 미국판)	Sega
vs215o	버추어 스트라이커 2 (Step 1.5, 일본판)	Sega
vs298	버추어 스트라이커 2 '98 (Step 2.0)	Sega
vs29815	버추어 스트라이커 2 '98 (Step 1.5)	Sega
vs299	버추어 스트라이커 2 '99 (Export, 미국판)	Sega
vs29915	버추어 스트라이커 2 '99 (Step 1.5, Export, 미국판)	Sega
vs299a	버추어 스트라이커 2 '99 (Export, USA, 개정판 A)	Sega
vs299b	버추어 스트라이커 2 '99 (일본판, 개정판 B)	Sega
vs2_2k	버추어 스트라이커 2 버전 2000 (개정판 C)	Sega
vs2_2ko	버추어 스트라이커 2 Ver. 2000	Sega
vs2v991	버추어 스트라이커 2 '99.1 (개정판 B)	Sega
vs4	버추어 스트라이커 4 (수출판) (GDT-0015)	Sega
vs42006	버추어 스트라이커 4 버전.2006 (일본판) (개정판 D) (GDT-0020D)	Sega
vs42006b	버추어 스트라이커 4 버전.2006 (일본판) (개정판 B) (GDT-0020B)	Sega
vs42k6ex	버추어 스트라이커 4 버전.2006 (수출판) (GDT-0021)	Sega
vs4e	버추어 스트라이커 4 (수출판) (GDT-0014)	Sega
vs4eo	버추어 스트라이커 4 (아시아판) (GDT-0014)	Sega
vs4j	버추어 스트라이커 4 (일본판) (개정판 E) (GDT-0013E)	Sega
vs4jc	버추어 스트라이커 4 (일본판, Rev C) (GDT-0013C)	Sega
vs4o	버추어 스트라이커 4 (Export) (GDT-0015)	Sega
vsav	뱀파이어 세이비어: 뱀파이어의 제왕 (유럽판 970519)	Capcom
vsav2	뱀파이어 세이비어 2: 뱀파이어의 제왕 (일본판 970913)	Capcom
vsav2d	뱀파이어 세이비어 2: 뱀파이어의 제왕 (일본판 970913 Phoenix Edition) (bootleg)	bootleg
vsav2emb	뱀파이어 세이비어 2: 뱀파이어의 제왕 (Easy Moves hack by Blackheart 2009-04-30	Blackheart
vsav2s01	뱀파이어 세이비어 2: 뱀파이어의 제왕 (Command Change)(2008-4-19)(일본판 970913)	pipi899
vsav2s02	뱀파이어 세이비어 2: 뱀파이어의 제왕 (Infinite Power)(2008-07-28)(일본판 970913)	pipi899
vsava	뱀파이어 세이비어 2: 뱀파이어의 제왕 (아시아판 970519)	Capcom
vsavd	뱀파이어 세이비어 2: 뱀파이어의 제왕 (Euro 970519 Phoenix Edition) (bootleg)	bootleg
